thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdlokasi|kdkabkota|kddekon|kdsoutput|kdkmpnen|kdskmpnen|urskmpnen|kdib|kdlokus|reflokus|nmlokus
2027|01|325237|015|08|CD|6215|FAL|32|52|2|001|100| A|Koordinasi Laporan Keuangan Pemerintah Daerah dan/atau BLUD|00||0|0
2027|01|325237|015|08|CD|6215|FAL|32|52|2|001|100| B|Penyusunan Laporan Statistik Keuangan Pemerintah Tingkat Wilayah|00||0|0
2027|01|325237|015|08|CD|6215|FAL|32|52|2|003|100| A|Pembinaan UAKBUN D (KPPN)|00||0|0
2027|01|325237|015|08|CD|6215|FAL|32|52|2|003|100| B|Koordinasi UAKBUN-D (KPPN) (Cross Program)|00||0|0
2027|01|325237|015|08|CD|6216|ABA|32|52|2|002|100| A|Pelaksanaan Survei Bahan Sumbangan Standar Biaya Masukan|00||0|0
2027|01|325237|015|08|WA|4718|EBA|32|52|2|Z03|100| A|TANPA SUB KOMPONEN|00||0|0
2027|01|340249|015|08|CD|6212|FAC|34|02|2|002|100| A|Asistensi / Pembinaan Satker BLU|00||0|0
2027|01|340249|015|08|CD|6212|FAC|34|02|2|002|100| B|Asistensi / Pembinaan Pengelolaan Keuangan BLU Daerah|00||0|0
2027|01|340249|015|08|CD|6212|FAC|34|02|2|010|100| B|Pembinaan SAP pada Pemerintah Daerah|00||0|0
2027|01|340249|015|08|CD|6212|FAC|34|02|2|010|100| C|Sosialisasi/Bimtek/Workshop/FGD dengan Pemda|00||0|0
2027|01|340249|015|08|CD|6212|FAC|34|02|2|011|100| A|Pendampingan Penyusunan dan Penyelesaian Permasalahan Laporan Keuangan UAPPA-W dan BLU|00||0|0
2027|01|340249|015|08|CD|6212|FAC|34|02|2|011|100| B|Asistensi, Sosialisasi dan Bimbingan Teknis UAPPA-W|00||0|0
2027|01|340249|015|08|CD|6212|FAL|34|02|2|001|100| A|Sosialisasi Peraturan/Kebijakan Pelaksanaan Anggaran|00||0|0
2027|01|340249|015|08|CD|6212|FAL|34|02|2|001|100| B|Pengkoordinasian Kerjasama Ekonomi dan Keuangan Daerah|00||0|0
2027|01|340249|015|08|CD|6212|FAL|34|02|2|001|100| C|Pembinaan dan Bimtek Pengelolaan Keuangan Daerah|00||0|0
2027|01|340249|015|08|CD|6212|FAL|34|02|2|001|100| D|Penyerahan DIPA|00||0|0
2027|01|340249|015|08|CD|6213|ABA|34|02|2|001|100| A|Penyusunan Analisis Potensi Investasi dan Pinjaman Daerah|00||0|0
2027|01|340249|015|08|CD|6213|ABA|34|02|2|003|100| A|Koordinasi Pelaksanaan Tugas RCE  ALCo|00||0|0
2027|01|340249|015|08|CD|6213|FAE|34|02|2|Q04|100| B|Monitoring dan  Evaluasi KUR/Penerusan Pinjaman|00||0|0
2027|01|340249|015|08|CD|6213|FAL|34|02|2|003|100| A|Pelaksanaan Spending Review|00||0|0
2027|01|340249|015|08|CD|6213|FAL|34|02|2|003|100| C|Review Pelaksanaan Anggaran|00||0|0
2027|01|340249|015|08|CD|6213|FAL|34|02|2|003|100| D|Monitoring dan Evaluasi Pelaksanaan Anggaran|00||0|0
2027|01|340249|015|08|CD|6213|FAL|34|02|2|003|100| E|Pengumpulan Informasi/Penajaman Data Fiskal Regional/Penyusunan KFR|00||0|0
2027|01|340249|015|08|CD|6213|FAL|34|02|2|003|100| F|Publikasi Kajian Fiskal Regional (Full Cost)|00||0|0
2027|01|340249|015|08|CD|6213|FAL|34|02|2|003|100| H|Monitoring atas Transfer ke Daerah|00||0|0
2027|01|340249|015|08|CD|6213|FAL|34|02|2|003|100| I|Pendampingan Program Makan Bergizi Gratis (MBG)|00||0|0
2027|01|340249|015|08|WA|4715|EBA|34|02|2|959|100| A|TANPA SUB KOMPONEN|00||0|0
2027|01|340249|015|08|WA|4715|EBA|34|02|2|962|100| A|TANPA SUB KOMPONEN|00||0|0
2027|01|340249|015|08|WA|4715|EBA|34|02|2|962|100| B|Koordinasi Penyusunan ATK PU|00||0|0
2027|01|340249|015|08|WA|4715|EBA|34|02|2|994|002| A|Pelaksanaan Operasional Kantor|00||0|0
2027|01|340249|015|08|WA|4715|EBA|34|02|2|994|002| B|Langganan Daya dan Jasa|00||0|0
2027|01|340249|015|08|WA|4715|EBA|34|02|2|994|002|HP|Honorarium PPNPN|00||0|0
